tag,词性,label,remove
王者荣耀,王者/n(名词) 荣耀/n(名词),com_del_type,0
学生会,学生会/n(名词),sin_ver_nou_special_type,1
交友,交友/v(动词),val_eval_type,1
90后,90后/n(名词),val_num_time_type,1
校友会,校友会/n(名词),sin_ver_nou_special_type,1
同学,同学/n(名词),val_eval_type,1
学习部,学习部/n(名词),sin_ver_nou_special_type,1
娱乐,娱乐/vn(其他),val_eval_type,1
聊天,聊天/v(动词),val_eval_type,1
80后,80后/n(名词),val_num_time_type,1
家人,家人/n(名词),val_eval_type,1
兄弟连,兄弟连/n(名词),val_eval_type,1
触手TV,触手/n(名词) tv/nx(其他),com_del_type,0
朋友,朋友/n(名词),val_eval_type,1
单身,单身/n(名词),sin_ver_nou_del_type,0
创业,创业/v(动词),sin_ver_nou_del_type,0
姐妹淘,姐妹/n(名词) 淘/v(动词),val_eval_type,1
游戏,游戏/n(名词),sin_ver_nou_del_type,0
死党,死党/n(名词),val_eval_type,1
美女,美女/n(名词),sin_ver_nou_del_type,0
K歌,k歌/v(动词),sin_ver_nou_del_type,0
生活部,生活部/n(名词),sin_ver_nou_special_type,1
篮球,篮球/n(名词),sin_ver_nou_del_type,0
俱乐部,俱乐部/n(名词),val_eval_type,1
交流,交流/vn(其他),val_eval_type,1
吃货,吃货/n(名词),sin_ver_nou_del_type,0
聚会,聚会/v(动词),val_eval_type,1
休闲,休闲/v(动词),val_eval_type,1
同城,同城/n(名词),val_eval_type,1
文艺部,文艺部/n(名词),sin_ver_nou_special_type,1
股票,股票/n(名词),sin_ver_nou_del_type,0
文艺青年,文艺/n(名词) 青年/n(名词),com_del_type,0
羽毛球,羽毛球/n(名词),sin_ver_nou_del_type,0
电信,电信/n(名词),sin_ver_nou_del_type,0
社团,社团/n(名词),val_eval_type,1
00后,00/m(数词) 后/f(方位词),val_num_time_type,1
知识分子,知识分子/n(名词),sin_ver_nou_del_type,0
学习,学习/v(动词),sin_ver_nou_del_type,0
足球,足球/n(名词),sin_ver_nou_del_type,0
自行车,自行车/n(名词),sin_ver_nou_del_type,0
体育部,体育部/n(名词),sin_ver_nou_special_type,1
乒乓球,乒乓球/n(名词),sin_ver_nou_del_type,0
淘宝,淘宝/n(名词),sin_ver_nou_del_type,0
八卦,八卦/n(名词),sin_ver_nou_del_type,0
宣传部,宣传部/n(名词),sin_ver_nou_special_type,1
